rule,engine,track,cell_id,seed,rep,PP_ms,RTT_ms,loss_pct,msg_bytes,hosts,nodes,qos_params,sent,received,delivery_ratio,late_join_recovered,owner,failover_ms,requested_deadline_missed,offered_deadline_missed,liveliness_lost,reader_not_alive,disposed,no_writers,created,matched,verdict
7,cyclone,loopback,96131cc6a1d7,20260630,3,20,1,20,1024,2,2,"{""deadline_ms"": 150, ""lifespan_ms"": 100}",1000,930,0.93,,,,25,12,0,0,,,true,true,delivered
7,cyclone,loopback,404b2534d88f,20260630,4,20,1,20,1024,2,2,"{""deadline_ms"": 150, ""lifespan_ms"": 100}",1000,911,0.911,,,,29,12,0,0,,,true,true,delivered
7,cyclone,loopback,1ed21e33bd73,20260630,5,20,1,20,1024,2,2,"{""deadline_ms"": 150, ""lifespan_ms"": 100}",1000,912,0.912,,,,21,12,0,0,,,true,true,delivered
7,cyclone,loopback,8c804826303a,20260630,6,20,1,20,1024,2,2,"{""deadline_ms"": 150, ""lifespan_ms"": 100}",1000,909,0.909,,,,27,12,0,0,,,true,true,delivered
7,cyclone,loopback,ad04ee21ae5b,20260630,7,20,1,20,1024,2,2,"{""deadline_ms"": 150, ""lifespan_ms"": 100}",1000,931,0.931,,,,25,12,0,0,,,true,true,delivered
7,cyclone,loopback,62cfa6a644d4,20260630,8,20,1,20,1024,2,2,"{""deadline_ms"": 150, ""lifespan_ms"": 100}",1000,927,0.927,,,,20,12,0,0,,,true,true,delivered
7,cyclone,loopback,3186f3e4bf48,20260630,9,20,1,20,1024,2,2,"{""deadline_ms"": 150, ""lifespan_ms"": 100}",1000,924,0.924,,,,17,12,0,0,,,true,true,delivered
7,cyclone,loopback,3bd3147b87b8,20260630,0,20,1,20,1024,2,2,"{""deadline_ms"": 300, ""lifespan_ms"": 100}",1000,922,0.922,,,,8,7,0,0,,,true,true,delivered
7,cyclone,loopback,f12d49523b52,20260630,1,20,1,20,1024,2,2,"{""deadline_ms"": 300, ""lifespan_ms"": 100}",1000,928,0.928,,,,8,7,0,0,,,true,true,delivered
7,cyclone,loopback,aa2f65a49448,20260630,2,20,1,20,1024,2,2,"{""deadline_ms"": 300, ""lifespan_ms"": 100}",1000,924,0.924,,,,8,7,0,0,,,true,true,delivered
7,cyclone,loopback,08efa719cfa5,20260630,3,20,1,20,1024,2,2,"{""deadline_ms"": 300, ""lifespan_ms"": 100}",1000,931,0.931,,,,4,7,0,0,,,true,true,delivered
7,cyclone,loopback,2893e7dbb440,20260630,4,20,1,20,1024,2,2,"{""deadline_ms"": 300, ""lifespan_ms"": 100}",1000,916,0.916,,,,8,7,0,0,,,true,true,delivered
7,cyclone,loopback,449e64204e95,20260630,5,20,1,20,1024,2,2,"{""deadline_ms"": 300, ""lifespan_ms"": 100}",1000,918,0.918,,,,8,7,0,0,,,true,true,delivered
7,cyclone,loopback,af554dfc8272,20260630,6,20,1,20,1024,2,2,"{""deadline_ms"": 300, ""lifespan_ms"": 100}",1000,914,0.914,,,,7,7,0,0,,,true,true,delivered
7,cyclone,loopback,54e1abd0c1e9,20260630,7,20,1,20,1024,2,2,"{""deadline_ms"": 300, ""lifespan_ms"": 100}",1000,932,0.932,,,,7,7,0,0,,,true,true,delivered
7,cyclone,loopback,ac5638fce47d,20260630,8,20,1,20,1024,2,2,"{""deadline_ms"": 300, ""lifespan_ms"": 100}",1000,929,0.929,,,,2,7,0,0,,,true,true,delivered
7,cyclone,loopback,6f19a3e413a8,20260630,9,20,1,20,1024,2,2,"{""deadline_ms"": 300, ""lifespan_ms"": 100}",1000,942,0.942,,,,8,7,0,0,,,true,true,delivered
7,cyclone,loopback,d0b0a1208742,20260630,0,20,1,20,1024,2,2,"{""deadline_ms"": 500, ""lifespan_ms"": 100}",1000,917,0.917,,,,5,5,0,0,,,true,true,delivered
7,cyclone,loopback,5ba129eb7f71,20260630,1,20,1,20,1024,2,2,"{""deadline_ms"": 500, ""lifespan_ms"": 100}",1000,921,0.921,,,,5,5,0,0,,,true,true,delivered
7,cyclone,loopback,168d4c5b32da,20260630,2,20,1,20,1024,2,2,"{""deadline_ms"": 500, ""lifespan_ms"": 100}",1000,926,0.926,,,,6,5,0,0,,,true,true,delivered
7,cyclone,loopback,1e3a0f2ee44b,20260630,3,20,1,20,1024,2,2,"{""deadline_ms"": 500, ""lifespan_ms"": 100}",1000,926,0.926,,,,6,5,0,0,,,true,true,delivered
7,cyclone,loopback,ded12dd5a62d,20260630,4,20,1,20,1024,2,2,"{""deadline_ms"": 500, ""lifespan_ms"": 100}",1000,917,0.917,,,,5,5,0,0,,,true,true,delivered
7,cyclone,loopback,9b2976d82e65,20260630,5,20,1,20,1024,2,2,"{""deadline_ms"": 500, ""lifespan_ms"": 100}",1000,931,0.931,,,,6,5,0,0,,,true,true,delivered
7,cyclone,loopback,071375e8500a,20260630,6,20,1,20,1024,2,2,"{""deadline_ms"": 500, ""lifespan_ms"": 100}",1000,927,0.927,,,,7,5,0,0,,,true,true,delivered
7,cyclone,loopback,332c8c073fdb,20260630,7,20,1,20,1024,2,2,"{""deadline_ms"": 500, ""lifespan_ms"": 100}",1000,934,0.934,,,,5,5,0,0,,,true,true,delivered
